,20,30,40,50,60,70,80,90,100
SurfFit_p1,0.016048909001258375,0.023249240994766076,0.0,0.02576135161961368,0.015458739194249234,0.01970978149961857,0.019851771181970138,0.01773683064430761,-0.019292185780952563
SurfFit_p2,0.04211755144903524,0.037814608156552854,0.014452865845880826,0.0179554851531523,0.018572221601654462,0.018911001425008126,0.017122729243262615,0.015716458964600406,0.01194823665783102
SurfFit_p3,0.04754363096649766,0.029982292371941263,-0.0,0.0024292513626050093,-0.002237054916267565,-0.009368362772479438,-0.0046709190568598735,-0.0007751013787544412,0.0
Q_cycle2,-0.004756805181543777,-0.0,0.0,0.01584860603817636,0.011997504575533696,0.011116644798367666,0.014015665449724608,0.016508748436229802,0.011667878533608204
Q_lastcycle,0.03904252685120434,0.042901339721585725,0.0,0.019118695856211135,0.017226867631654118,0.01590226751900417,0.015972471086322954,0.017639290543379076,0.022639709261879498
chargetime,0.07893177501226742,0.07417350020344951,0.038109940102602824,0.028186043978371853,0.019375431367698554,0.021599114058819528,0.022261136443656647,0.027336434891595804,0.023626288523083162
Tmax,-0.021465011702552772,-0.0245059228724844,-0.0,-0.01814997611598579,-0.011990317797490806,-0.009243845198156025,-0.00948592398634415,-0.010765113304525599,-0.010721867630310182
log_slope_2pt9V_corr,-0.0004376481935742862,0.010159386566013767,-0.0,-0.01907958685787059,-0.02166136505678792,-0.019706801711308952,-0.021864023096200107,-0.026278853739190682,-0.030090471108646422
log_int_2pt9V_corr,0.003943053224602507,0.000752276103443597,-0.0,-0.015793875228009464,-0.01980884651632537,-0.020480353389570865,-0.022202216031564918,-0.030734789042522182,-0.032713219678240014
log_DeltaQ_mean,-0.006829111957076776,-0.027611523814876887,-0.0,-0.020797774688384608,-0.02122226144325812,-0.014166019762500284,-0.01925982294070615,-0.017060830577014654,-0.025035326846901195
log_DeltaQ_var,-0.021074734577890997,-0.012185304730794705,-0.046238361557776574,-0.03028703395355117,-0.02366821914174992,-0.01846037757630455,-0.023948274467119723,-0.0194623416166176,-0.032836847265252
log_IR_min,-0.04708645959721327,-0.04688364672054698,-0.0,-0.03119034674253582,-0.01901177508421405,-0.01600650497798765,-0.022945327249276018,-0.029929105317163772,-0.023871796437657376
log_IR_diff,-0.018828548443175205,-0.014231317648779555,-0.005856854188608895,-0.012027583185097862,-0.012425724602588116,-0.014866798455679193,-0.012509173958366197,-0.010330670836289508,-0.0065562843280730105
